0,1,2,3
-186.64746,116.37766,-41.630302,-19.97683
-343.9629,34.67814,-28.479216,-13.274553
-284.64743,24.59207,-59.50328,-4.7087755
-319.3522,45.066467,-38.986652,-28.315516
-201.12694,60.13938,-42.123688,13.353075
-216.41095,55.712578,-37.756306,10.126112
-86.92278,79.446014,-63.434757,-20.902468
-347.0178,119.125046,10.476257,17.628876
-415.26517,71.37718,-23.30719,7.9300733
-463.78107,138.4164,20.779991,11.15193
-378.33344,22.19411,-54.541523,67.28096
-355.38037,93.3149,2.548309,-25.198536
-329.27304,38.862312,-0.33287773,30.343458
-367.84412,66.210594,-42.934402,3.4911358
-282.41266,103.49767,-20.515871,-0.13406637
-393.40915,50.465458,37.45494,22.088509
-465.18106,107.64514,12.390796,27.381325
-416.55057,46.81932,48.097538,28.519968
-414.41736,44.69702,-23.295572,11.653373
-293.4023,34.009377,27.216486,33.434814
-172.3511,93.28706,-69.21058,-30.514355
-505.0171,62.5253,10.86953,21.675783
-434.36334,57.441418,-27.754236,6.193605
-418.89606,38.92238,49.226715,28.232315
-484.92902,41.060127,14.335769,5.882648
-205.42715,3.9726274,-60.42612,4.38878
-473.50742,111.383896,1.8525274,12.930156
-348.65646,86.91555,-26.016481,16.482847
-226.00703,125.593124,-52.66895,14.487738
-250.45218,2.6954608,-58.28126,7.3266
-320.69455,136.24403,-77.66238,-30.166462
-447.82098,43.107067,52.801006,25.873007
-391.7265,55.93469,-16.68557,-2.6774418
-387.67535,58.82025,-15.913961,-1.4760808
-367.44827,72.14983,-49.652805,18.487295
-205.78905,-20.685152,-17.230635,4.270619
-437.2323,133.31825,24.762579,19.049767
-364.16196,28.557053,41.443466,31.277874
-647.10223,53.890705,-1.3062464,13.131639
-587.54895,186.34496,-102.546844,-23.9942
-309.3507,82.38557,-29.659412,-30.68215
-199.17418,25.611238,-32.90083,6.5383153
-603.01245,84.09603,25.738089,23.596285
-391.8929,75.18915,-34.582344,15.8677025
-229.37708,125.29685,-27.804836,-0.18071187
-451.63095,48.965267,62.156273,30.069696
-226.67441,52.39663,-40.94736,31.561417
-182.10574,88.62924,-10.395916,5.7595425
-455.34024,39.656895,55.702538,28.545282
-470.23843,40.12238,-57.90345,-6.0618353
-216.08354,24.698772,-34.120674,6.452224
-415.47635,61.691322,1.5951549,12.165282
-302.241,-25.855207,-51.388638,29.184662
-414.9445,56.82377,-33.63847,-11.312223
-339.6778,127.3905,-11.300571,8.1272955
-460.5327,81.27307,-8.501891,23.561932
-422.57333,47.887127,49.78903,28.86913
-314.21222,80.91855,-25.696148,10.288631
-116.19892,69.80672,-39.988407,12.551714
-340.5415,86.6491,-23.377392,-1.3281779
-430.37643,56.100792,-72.914764,-8.779903
-223.87762,94.1873,-43.335167,-18.647953
-250.95782,21.697868,-62.747574,20.020233
-418.8826,47.411003,48.720844,28.40285
-312.92572,79.30185,-13.456778,6.680498
-275.84393,8.796551,-72.455956,-20.850664
-316.19565,52.148865,-29.780703,13.640869
-128.28865,99.47274,-37.88868,-6.408155
-415.33365,98.50144,5.8505635,22.855307
-411.14352,76.1935,3.0827267,14.799234
-176.4583,112.54951,-40.346416,11.522332
-452.78415,33.31793,-89.221504,-3.6438024
-319.13788,59.879562,-51.24432,-8.384053
-256.06537,113.35842,-44.05612,20.862036
-418.87094,37.67033,44.657356,27.211061
-445.42017,66.15827,-32.194042,0.4239405
-359.89102,92.82879,-4.9636183,-6.6438403
-451.31073,41.52666,53.924347,27.48109
-444.4638,44.140114,49.566235,26.407017
-574.0223,15.451782,-4.7482195,-0.9584293
-140.83257,88.32056,-67.20627,-9.135936
-304.07315,122.85578,31.94665,25.120918
-420.65598,43.9294,49.600277,28.913027
-440.14844,45.447887,-17.905973,16.460342
-360.8351,-30.704395,-42.991714,-32.154686
-178.66922,79.60462,-29.93356,16.26763
-211.34465,92.81143,-40.697548,14.480248
-346.85632,101.69732,31.716957,9.385225
-201.79768,84.215034,-33.400547,3.8970544
-417.98727,82.877235,-41.348103,-2.7315733
-447.17358,44.883507,52.399296,27.19353
-325.33627,50.392258,-43.46091,17.642254
-320.35626,69.691025,-55.10161,-7.82906
-245.30016,56.729435,-66.33594,-12.497606
-362.9802,71.876526,-13.854593,14.827419
-231.70958,27.071384,-20.998743,5.6517863
-231.0844,69.5913,-65.68208,-14.900424
-394.09866,82.43498,-14.125804,21.305466
-123.89294,106.53361,-22.020918,8.885607
-392.07135,50.011543,36.425385,21.964235
-140.49136,81.55657,-49.01798,-31.990694
-504.17807,98.41223,-32.094822,26.47486
-361.66452,67.92588,-2.9894955,22.402548
-393.79236,125.48936,-24.707102,-26.754627
-465.1551,50.238144,-46.750843,-4.018796
-467.1496,34.257927,64.430824,37.751534
-438.97372,146.30588,17.578726,17.871513
-261.46338,81.01356,-71.80915,1.1147221
-277.49466,78.24939,-6.49069,8.820059
-327.0636,58.56741,-50.03273,-13.7438
-200.50124,26.437893,-105.45406,-5.4116173
-73.47577,86.54882,-49.346737,22.47428
-256.97946,73.984474,-31.594173,39.765587
-410.5765,61.54081,-76.42746,-14.974494
-397.93674,50.43806,-45.890717,-4.4180336
-420.66202,15.0012,-46.256332,-21.982962
-304.96545,44.358105,-18.660797,10.749843
-450.12988,48.625126,59.21102,28.256767
-309.2319,108.9951,-59.9874,-2.9280803
-430.53586,103.71954,45.908062,36.179054
-188.60939,50.106895,-47.623425,11.603785
-155.0238,77.64482,-30.258512,-7.740043
-360.00485,74.14358,-25.966787,15.180192
-219.91222,102.69957,-10.621511,30.339474
-439.0438,111.28973,35.905025,39.791042
-584.57385,89.39582,-15.485819,29.989653
-287.43478,76.77887,-27.760681,12.025004
